name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
fannkuchredux,java,2,9,514,0.242,0,0,81% 31% 20% 6%,0.167
fannkuchredux,java,2,10,514,0.749,34772,0,9% 6% 11% 91%,0.682
fannkuchredux,java,2,11,514,5.892,35084,0,1% 1% 59% 43%,5.814
fannkuchredux,java,2,11,514,5.958,34704,0,2% 99% 2% 1%,5.890
fannkuchredux,java,2,11,514,5.979,34880,0,2% 99% 2% 1%,5.891
fannkuchredux,java,2,11,514,5.895,35132,0,99% 2% 1% 1%,5.816
fannkuchredux,java,2,11,514,6.894,35016,0,99% 1% 1% 2%,6.809
fannkuchredux,java,2,11,514,6.961,34952,0,2% 99% 1% 2%,6.877
fannkuchredux,python,4,9,950,1.285,12272,0,25% 97% 25% 27%,1.262
fannkuchredux,python,4,10,950,12.869,48840,0,97% 97% 98% 98%,3.318
fannkuchredux,python,4,11,950,151.028,48204,0,98% 96% 100% 98%,38.611
fannkuchredux,php,2,9,441,0.356,680,0,0% 11% 100% 0%,0.358
fannkuchredux,php,2,10,441,4.242,7912,0,100% 0% 0% 1%,4.245
fannkuchredux,php,2,11,441,55.694,8000,0,73% 18% 1% 11%,55.714
fannkuchredux,php,2,11,441,54.694,7856,0,0% 0% 83% 18%,54.710
fannkuchredux,php,2,11,441,55.074,7912,0,0% 0% 100% 1%,55.090
fannkuchredux,php,2,11,441,55.425,7996,0,0% 0% 100% 1%,55.441
fannkuchredux,php,2,11,441,55.091,8012,0,0% 0% 100% 1%,55.106
fannkuchredux,php,2,11,441,55.412,7892,0,1% 0% 100% 1%,55.428
fannkuchredux,python,6,9,385,1.055,8112,0,0% 100% 2% 0%,1.058
fannkuchredux,python,6,10,385,11.747,7612,0,1% 1% 1% 100%,11.752
fannkuchredux,python,6,11,385,146.360,8360,0,80% 20% 1% 1%,146.404
nbody,java,4,10000,1489,0.140,0,0,30% 10% 11% 82%,0.101
nbody,java,4,20000,1489,0.144,0,0,18% 25% 50% 64%,0.110
nbody,java,4,30000,1489,0.157,0,0,36% 9% 64% 42%,0.115
nbody,java,4,40000,1489,0.158,0,0,17% 27% 58% 42%,0.120
nbody,java,4,50000,1489,0.156,0,0,33% 0% 67% 42%,0.120
nbody,java,4,50000,1489,0.164,0,0,83% 46% 9% 0%,0.121
nbody,java,4,50000,1489,0.160,0,0,0% 25% 69% 36%,0.123
nbody,java,4,50000,1489,0.161,0,0,15% 17% 42% 67%,0.122
nbody,java,4,50000,1489,0.160,0,0,15% 27% 38% 58%,0.123
nbody,java,4,50000,1489,0.161,0,0,0% 31% 31% 69%,0.123
nbody,java,2,10000,1424,0.143,0,0,33% 64% 27% 9%,0.112
nbody,java,2,20000,1424,0.152,0,0,50% 50% 22% 27%,0.108
nbody,java,2,30000,1424,0.154,0,0,30% 0% 36% 64%,0.112
nbody,java,2,40000,1424,0.160,0,0,17% 33% 67% 38%,0.119
nbody,java,2,50000,1424,0.166,0,0,67% 15% 31% 33%,0.127
nbody,java,2,50000,1424,0.165,0,0,8% 31% 82% 23%,0.124
nbody,java,2,50000,1424,0.164,0,0,0% 27% 62% 42%,0.122
nbody,java,2,50000,1424,0.166,0,0,18% 17% 75% 36%,0.120
nbody,java,2,50000,1424,0.164,0,0,23% 43% 62% 46%,0.124
nbody,java,2,50000,1424,0.167,0,0,0% 23% 36% 83%,0.129
nbody,java,5,10000,1429,0.144,0,0,21% 23% 57% 33%,0.130
nbody,java,5,20000,1429,0.149,0,0,50% 55% 33% 9%,0.109
nbody,java,5,30000,1429,0.152,0,0,75% 36% 27% 0%,0.113
nbody,java,5,40000,1429,0.161,0,0,30% 31% 33% 58%,0.117
