name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s),busy(s)
binarytrees,dartjit,7,21,863,33.747,598200,0,55% 65% 59% 63%,14.009,33.766
binarytrees,gcc,5,7,908,0.002,0,0,13% 67% 14% 0%,0.066,0.062
binarytrees,gcc,5,14,908,0.146,1468,0,60% 100% 83% 67%,0.054,0.167
binarytrees,gcc,5,21,908,31.118,351376,0,98% 94% 93% 85%,8.457,31.326
binarytrees,fsharpcore,7,7,516,0.261,35572,0,1% 26% 27% 11%,1.436,0.929
binarytrees,fsharpcore,7,14,516,0.273,44932,0,23% 26% 33% 63%,0.251,0.364
binarytrees,fsharpcore,7,21,516,16.261,1398820,0,64% 71% 64% 67%,6.136,16.298
binarytrees,csharpcore,1,7,657,0.102,27896,0,35% 13% 2% 45%,0.518,0.496
binarytrees,csharpcore,1,14,657,0.172,24280,0,54% 58% 38% 46%,0.118,0.232
binarytrees,csharpcore,1,21,657,16.048,2006320,0,77% 88% 79% 84%,4.983,16.340
binarytrees,sbcl,3,7,932,0.028,16956,0,4% 0% 25% 11%,0.580,0.226
binarytrees,sbcl,3,14,932,0.057,0,0,100% 67% 50% 33%,0.028,0.071
binarytrees,sbcl,3,21,932,9.794,332752,0,47% 44% 44% 61%,5.441,10.643
binarytrees,go,6,7,611,0.004,0,0,0% 73% 55% 0%,0.108,0.137
binarytrees,go,6,14,611,0.151,3304,0,100% 7% 0% 0%,0.152,0.162
binarytrees,go,6,21,611,29.075,410344,0,97% 2% 3% 2%,28.143,29.455
binarytrees,lua,4,7,664,0.023,1452,0,36% 30% 69% 18%,0.331,0.507
binarytrees,lua,4,14,664,0.802,9856,0,88% 78% 77% 92%,0.249,0.833
binarytrees,lua,4,21,664,184.090,927460,0,97% 91% 93% 91%,49.686,184.529
binarytrees,php,3,7,428,0.027,12196,0,4% 28% 0% 17%,0.508,0.250
binarytrees,php,3,14,428,0.183,25332,0,11% 100% 0% 5%,0.185,0.215
binarytrees,php,3,21,428,51.494,1562576,0,100% 1% 0% 1%,51.500,52.191
binarytrees,ruby,3,7,400,0.268,285452,0,68% 7% 5% 6%,0.865,0.740
binarytrees,ruby,3,14,400,0.611,290632,0,2% 100% 0% 2%,0.612,0.632
binarytrees,ruby,3,21,400,72.692,751800,0,0% 100% 0% 1%,72.699,73.810
binarytrees,ruby,4,7,364,0.316,285512,0,3% 1% 5% 95%,0.803,0.832
binarytrees,ruby,4,14,364,0.573,288604,0,5% 0% 100% 0%,0.574,0.604
binarytrees,ruby,4,21,364,68.989,676944,0,1% 1% 100% 1%,68.995,71.308
binarytrees,java,7,7,835,0.213,34812,0,4% 37% 13% 6%,1.283,0.765
binarytrees,java,7,14,835,0.192,33460,0,50% 42% 50% 69%,0.118,0.249
binarytrees,java,7,21,835,7.866,2479012,0,74% 92% 78% 71%,2.511,7.935
binarytrees,fpascal,5,7,923,0.007,0,0,0% 63% 13% 50%,0.090,0.112
binarytrees,fpascal,5,14,923,0.037,0,0,67% 100% 67% 50%,0.020,0.058
binarytrees,fpascal,5,21,923,5.013,132332,0,41% 50% 100% 68%,2.058,5.319
binarytrees,julia,3,7,634,1.724,193116,0,47% 10% 6% 9%,5.375,3.886
binarytrees,julia,3,14,634,1.187,195468,0,98% 49% 53% 48%,0.502,1.245
binarytrees,julia,3,21,634,23.362,494392,0,74% 100% 69% 80%,7.278,23.508
binarytrees,typescript,6,7,842,0.351,47056,0,24% 13% 17% 12%,1.549,1.026
binarytrees,typescript,6,14,842,0.675,83528,0,47% 40% 71% 53%,0.355,0.752
binarytrees,typescript,6,21,842,24.551,898264,0,76% 74% 79% 74%,8.052,24.420
binarytrees,icc,5,7,908,0.007,12,0,37% 14% 0% 26%,0.199,0.154
binarytrees,icc,5,14,908,0.145,388,0,80% 75% 80% 83%,0.052,0.165
binarytrees,icc,5,21,908,28.473,351796,0,91% 90% 97% 83%,7.911,28.593
binarytrees,dartjit,1,7,482,0.749,129552,0,26% 15% 10% 53%,2.183,2.279
binarytrees,dartjit,1,14,482,0.590,162820,0,43% 47% 23% 29%,0.437,0.616
binarytrees,dartjit,1,21,482,19.838,543380,0,83% 13% 27% 13%,14.685,20.084
binarytrees,ifc,2,7,1148,0.014,852,0,9% 16% 59% 3%,0.316,0.276
binarytrees,ifc,2,14,1148,0.054,0,0,50% 100% 67% 100%,0.022,0.069
binarytrees,ifc,2,21,1148,6.701,136468,0,71% 80% 78% 89%,2.134,6.796
binarytrees,csharppgo,1,7,657,0.086,30456,0,15% 56% 10% 45%,0.479,0.604
binarytrees,csharppgo,1,14,657,0.174,46668,0,36% 31% 83% 25%,0.135,0.236
binarytrees,csharppgo,1,21,657,16.322,2035108,0,86% 79% 80% 81%,5.046,16.473
binarytrees,gpp,5,7,885,0.003,316,0,9% 17% 8% 100%,0.115,0.154
binarytrees,gpp,5,14,885,0.024,0,0,0% 0% 0% 0%,0.009,0.000
binarytrees,gpp,5,21,885,4.103,200052,0,98% 89% 89% 88%,1.144,4.153
binarytrees,icx,2,7,809,0.009,436,0,33% 21% 54% 22%,0.232,0.302
binarytrees,icx,2,14,809,0.042,0,0,0% 50% 100% 67%,0.016,0.035
binarytrees,icx,2,21,809,5.434,169912,0,80% 79% 73% 92%,1.694,5.503
binarytrees,csharpcore,2,7,705,0.103,27544,0,2% 60% 7% 8%,0.540,0.416
binarytrees,csharpcore,2,14,705,0.189,31748,0,27% 71% 27% 69%,0.147,0.284
binarytrees,csharpcore,2,21,705,15.810,1651992,0,77% 79% 79% 89%,4.899,15.897
binarytrees,java,3,7,540,0.179,33648,0,8% 10% 27% 10%,1.325,0.729
binarytrees,java,3,14,540,0.150,37296,0,36% 55% 46% 18%,0.116,0.181
binarytrees,java,3,21,540,5.503,2121816,0,7% 6% 12% 92%,4.747,5.573
binarytrees,go,5,7,950,0.005,0,0,27% 46% 0% 0%,0.108,0.079
binarytrees,go,5,14,950,0.203,1144,0,100% 83% 86% 88%,0.071,0.253
binarytrees,go,5,21,950,49.114,336828,0,95% 96% 97% 95%,12.916,49.422
binarytrees,racket,2,7,416,0.245,57352,0,4% 0% 7% 96%,1.049,1.121
binarytrees,racket,2,14,416,0.172,61504,0,6% 12% 100% 0%,0.173,0.203
binarytrees,racket,2,21,416,9.102,319000,0,1% 1% 1% 100%,9.105,9.275
binarytrees,ghc,1,7,494,0.008,8,0,8% 42% 17% 8%,0.118,0.088
